commune_code;commune;population_2020;departement_code;departement;region_code;region
57359;Kemplich;167;57;Moselle;44;Grand Est
57360;Kerbach;1197;57;Moselle;44;Grand Est
57361;Kerling-lès-Sierck;565;57;Moselle;44;Grand Est
57362;Kerprich-aux-Bois;155;57;Moselle;44;Grand Est
57364;Kirsch-lès-Sierck;310;57;Moselle;44;Grand Est
57365;Kirschnaumen;469;57;Moselle;44;Grand Est
57366;Kirviller;143;57;Moselle;44;Grand Est
57367;Klang;239;57;Moselle;44;Grand Est
57368;Knutange;3199;57;Moselle;44;Grand Est
57370;Kœnigsmacker;2233;57;Moselle;44;Grand Est
57371;Haute-Kontz;586;57;Moselle;44;Grand Est
57372;Kuntzig;1310;57;Moselle;44;Grand Est
57373;Lachambre;898;57;Moselle;44;Grand Est
57374;Lafrimbolle;205;57;Moselle;44;Grand Est
57375;Lagarde;190;57;Moselle;44;Grand Est
57376;Lambach;512;57;Moselle;44;Grand Est
57377;Landange;235;57;Moselle;44;Grand Est
57379;Landroff;272;57;Moselle;44;Grand Est
57380;Laneuveville-lès-Lorquin;105;57;Moselle;44;Grand Est
57381;Laneuveville-en-Saulnois;302;57;Moselle;44;Grand Est
57382;Langatte;558;57;Moselle;44;Grand Est
57383;Languimberg;171;57;Moselle;44;Grand Est
57384;Laning;594;57;Moselle;44;Grand Est
57385;Laquenexy;1139;57;Moselle;44;Grand Est
57386;Laudrefang;338;57;Moselle;44;Grand Est
57387;Laumesfeld;276;57;Moselle;44;Grand Est
57388;Launstroff;262;57;Moselle;44;Grand Est
57389;Lelling;473;57;Moselle;44;Grand Est
57390;Lemberg;1468;57;Moselle;44;Grand Est
57391;Lemoncourt;72;57;Moselle;44;Grand Est
57392;Lemud;457;57;Moselle;44;Grand Est
57393;Lengelsheim;217;57;Moselle;44;Grand Est
57394;Léning;326;57;Moselle;44;Grand Est
57395;Lesse;207;57;Moselle;44;Grand Est
57396;Lessy;749;57;Moselle;44;Grand Est
57397;Ley;101;57;Moselle;44;Grand Est
57398;Leyviller;489;57;Moselle;44;Grand Est
57399;Lezey;99;57;Moselle;44;Grand Est
57401;Lidrezing;86;57;Moselle;44;Grand Est
57402;Liederschiedt;125;57;Moselle;44;Grand Est
57403;Liéhon;110;57;Moselle;44;Grand Est
57404;Lindre-Basse;223;57;Moselle;44;Grand Est
57405;Lindre-Haute;47;57;Moselle;44;Grand Est
57406;Liocourt;136;57;Moselle;44;Grand Est
57407;Lixheim;593;57;Moselle;44;Grand Est
57408;Lixing-lès-Rouhling;927;57;Moselle;44;Grand Est
57409;Lixing-lès-Saint-Avold;691;57;Moselle;44;Grand Est
57410;Lhor;133;57;Moselle;44;Grand Est
57411;Lommerange;285;57;Moselle;44;Grand Est
57412;Longeville-lès-Metz;4068;57;Moselle;44;Grand Est
57413;Longeville-lès-Saint-Avold;3696;57;Moselle;44;Grand Est
57414;Lorquin;1153;57;Moselle;44;Grand Est
57415;Lorry-lès-Metz;1767;57;Moselle;44;Grand Est
57416;Lorry-Mardigny;640;57;Moselle;44;Grand Est
57417;Lostroff;69;57;Moselle;44;Grand Est
57418;Loudrefing;322;57;Moselle;44;Grand Est
57419;Loupershouse;941;57;Moselle;44;Grand Est
57421;Loutzviller;149;57;Moselle;44;Grand Est
57422;Louvigny;909;57;Moselle;44;Grand Est
57423;Lubécourt;72;57;Moselle;44;Grand Est
57424;Lucy;222;57;Moselle;44;Grand Est
57425;Luppy;569;57;Moselle;44;Grand Est
57426;Luttange;903;57;Moselle;44;Grand Est
57427;Lutzelbourg;597;57;Moselle;44;Grand Est
57428;Macheren;2781;57;Moselle;44;Grand Est
57430;Mainvillers;336;57;Moselle;44;Grand Est
57431;Maizeroy;384;57;Moselle;44;Grand Est
57433;Maizières-lès-Metz;11232;57;Moselle;44;Grand Est
57434;Maizières-lès-Vic;510;57;Moselle;44;Grand Est
57436;Malaucourt-sur-Seille;127;57;Moselle;44;Grand Est
57437;Malling;623;57;Moselle;44;Grand Est
57438;Malroy;360;57;Moselle;44;Grand Est
57439;Manderen-Ritzing;587;57;Moselle;44;Grand Est
57440;Manhoué;143;57;Moselle;44;Grand Est
57441;Manom;2757;57;Moselle;44;Grand Est
57442;Many;272;57;Moselle;44;Grand Est
57443;Marange-Silvange;5993;57;Moselle;44;Grand Est
57444;Marange-Zondrange;338;57;Moselle;44;Grand Est
57445;Marieulles;697;57;Moselle;44;Grand Est
57446;Marimont-lès-Bénestroff;39;57;Moselle;44;Grand Est
57447;Marly;10049;57;Moselle;44;Grand Est
57448;Marsal;277;57;Moselle;44;Grand Est
57449;Marsilly;539;57;Moselle;44;Grand Est
57451;Marthille;173;57;Moselle;44;Grand Est
57452;La Maxe;881;57;Moselle;44;Grand Est
57453;Maxstadt;325;57;Moselle;44;Grand Est
57454;Mécleuves;1164;57;Moselle;44;Grand Est
57455;Mégange;165;57;Moselle;44;Grand Est
57456;Meisenthal;702;57;Moselle;44;Grand Est
57457;Menskirch;141;57;Moselle;44;Grand Est
57459;Merschweiller;236;57;Moselle;44;Grand Est
57460;Merten;1517;57;Moselle;44;Grand Est
57461;Métairies-Saint-Quirin;270;57;Moselle;44;Grand Est
57462;Metting;385;57;Moselle;44;Grand Est
57463;Metz;117890;57;Moselle;44;Grand Est
57464;Metzeresche;940;57;Moselle;44;Grand Est
57465;Metzervisse;2274;57;Moselle;44;Grand Est
57466;Metzing;638;57;Moselle;44;Grand Est
57467;Mey;274;57;Moselle;44;Grand Est
57468;Mittelbronn;688;57;Moselle;44;Grand Est
57469;Mittersheim;593;57;Moselle;44;Grand Est
57470;Molring;7;57;Moselle;44;Grand Est
57471;Momerstroff;279;57;Moselle;44;Grand Est
57472;Moncheux;150;57;Moselle;44;Grand Est
57473;Moncourt;72;57;Moselle;44;Grand Est
57474;Mondelange;5739;57;Moselle;44;Grand Est
57475;Mondorff;537;57;Moselle;44;Grand Est
57476;Monneren;423;57;Moselle;44;Grand Est
57477;Montbronn;1631;57;Moselle;44;Grand Est
57478;Montdidier;77;57;Moselle;44;Grand Est
57479;Montenach;455;57;Moselle;44;Grand Est
57480;Montigny-lès-Metz;21713;57;Moselle;44;Grand Est
57481;Montois-la-Montagne;2636;57;Moselle;44;Grand Est
57482;Ogy-Montoy-Flanville;1691;57;Moselle;44;Grand Est
57483;Morhange;3465;57;Moselle;44;Grand Est
57484;Morsbach;2680;57;Moselle;44;Grand Est
57485;Morville-lès-Vic;128;57;Moselle;44;Grand Est
57486;Morville-sur-Nied;122;57;Moselle;44;Grand Est
57487;Moulins-lès-Metz;5093;57;Moselle;44;Grand Est
57488;Moussey;561;57;Moselle;44;Grand Est
57489;Mouterhouse;309;57;Moselle;44;Grand Est
57490;Moyenvic;374;57;Moselle;44;Grand Est
57491;Moyeuvre-Grande;7790;57;Moselle;44;Grand Est
57492;Moyeuvre-Petite;468;57;Moselle;44;Grand Est
57493;Mulcey;210;57;Moselle;44;Grand Est
57494;Munster;255;57;Moselle;44;Grand Est
57495;Narbéfontaine;118;57;Moselle;44;Grand Est
57496;Nébing;350;57;Moselle;44;Grand Est
57497;Nelling;264;57;Moselle;44;Grand Est
57498;Neufchef;2568;57;Moselle;44;Grand Est
57499;Neufgrange;1412;57;Moselle;44;Grand Est
57500;Neufmoulins;42;57;Moselle;44;Grand Est
57501;Neufvillage;37;57;Moselle;44;Grand Est
57502;Neunkirchen-lès-Bouzonville;344;57;Moselle;44;Grand Est
